Problem,Contest,Index,Tags
Array Optimization by Deque,1579,E2,"data structures, greedy"
Ticks,1579,C,"greedy, implementation"
Higher Order Functions,1578,H,"implementation, strings"
Jeopardy of Dropped Balls,1575,J,"binary search, brute force, dsu, implementation"
Fix the String,1571,E,"*special, bitmasks, dp, greedy"
Jury Meeting,1569,C,"combinatorics, math"
Carrying Conundrum,1567,C,"bitmasks, combinatorics, dp, math"
Seating Arrangements (hard version) ,1566,D2,"data structures, greedy, implementation, sortings, two pointers"
Two Hundred Twenty One (easy version),1562,D1,"data structures, dp, math"
Rings,1562,C,"constructive algorithms, math"
Up the Strip (simplified version),1561,D1,"brute force, data structures, dp, math, number theory"
Moamen and XOR,1557,C,"bitmasks, combinatorics, dp, math, matrices"
Say No to Palindromes,1555,D,"brute force, constructive algorithms, dp, strings"
Cobb,1554,B,"bitmasks, brute force, greedy, math"
Backspace,1553,D,"dp, greedy, strings, two pointers"
Running for Gold,1552,B,"combinatorics, graphs, greedy, sortings"
Domino (easy version),1551,D1,"constructive algorithms, math"
Interesting Story,1551,C,"greedy, sortings, strings"
Manhattan Subarrays,1550,C,"brute force, geometry, greedy, implementation"
Air Conditioners,1547,E,"data structures, dp, implementation, shortest paths, sortings, two pointers"
AquaMoon and Strange Sort,1545,A,sortings
RPD and Rap Sheet (Easy Version),1543,D1,"bitmasks, constructive algorithms, interactive, math"
Strange Function,1542,C,"math, number theory"
Plus and Multiply,1542,B,"constructive algorithms, math, number theory"
PriceFixed,1539,D,"binary search, greedy, implementation, sortings, two pointers"
Interesting Function,1538,F,"binary search, dp, math, number theory"
Another Problem About Dividing Numbers,1538,D,"constructive algorithms, math, number theory"
Erase and Extend (Easy Version),1537,E1,"binary search, brute force, dp, greedy, hashing, implementation, string suffix structures, strings, two pointers"
Deleting Divisors,1537,D,"games, math, number theory"
Diluc and Kaeya,1536,C,"data structures, dp, hashing, number theory"
Secret Santa,1530,D,"constructive algorithms, flows, graphs, greedy, math"
Kavi on Pairing Duty,1528,B,"combinatorics, dp, math"
Parsa's Humongous Tree,1528,A,"dfs and similar, divide and conquer, dp, greedy, trees"
Sequence Pair Weight,1527,C,"hashing, implementation, math"
Potions (Hard Version),1526,C2,"data structures, greedy"
Potions (Easy Version),1526,C1,"brute force, data structures, dp, greedy"
Compression and Expansion,1523,C,"brute force, data structures, greedy, implementation, trees"
Guess the K-th Zero (Easy version),1520,F1,"binary search, interactive"
Maximum Sum of Products,1519,D,"brute force, dp, implementation, math, two pointers"
Baby Ehab Partitions Again,1516,C,"bitmasks, constructive algorithms, dp, math"
AGAGA XOOORRR,1516,B,"bitmasks, brute force, dp, greedy"
Phoenix and Socks,1515,D,"greedy, sortings, two pointers"
Product 1 Modulo N,1514,C,"greedy, number theory"
Add One,1513,C,"dp, matrices"
Short Task,1512,G,"brute force, dp, math, number theory"
Permutation by Sum,1512,E,"brute force, greedy, math"
Min Cost String,1511,D,"brute force, constructive algorithms, graphs, greedy, strings"
Restoring the Permutation,1506,E,"constructive algorithms, implementation"
DMCA,1505,B,"*special, implementation, number theory"
3-Coloring,1503,B,"constructive algorithms, games, interactive"
Balance the Bits,1503,A,"constructive algorithms, greedy"
Minimum Grid Path,1499,C,"brute force, data structures, greedy, math"
Planar Reflections,1498,C,"brute force, data structures, dp"
Square-Free Division (easy version),1497,E1,"data structures, dp, greedy, math, number theory, two pointers"
k-LCM (hard version),1497,C2,"constructive algorithms, math"
Maximum width,1492,C,"binary search, data structures, dp, greedy, two pointers"
Pekora and Trampoline,1491,C,"brute force, data structures, dp, greedy, implementation"
Equalize the Array,1490,F,"binary search, data structures, greedy, math, sortings"
Pythagorean Triples,1487,D,"binary search, brute force, math, number theory"
Minimum Ties,1487,C,"brute force, constructive algorithms, dfs and similar, graphs, greedy, implementation, math"
Guessing the Greatest (easy version),1486,C1,"binary search, interactive"
Eastern Exhibition,1486,B,"binary search, geometry, shortest paths, sortings"
Floor and Mod,1485,C,"binary search, brute force, math, number theory"
Basic Diplomacy,1482,C,"brute force, constructive algorithms, greedy, implementation"
Restore Modulo,1482,B,"implementation, math"
Fence Painting,1481,C,"brute force, constructive algorithms, greedy"
Searching Local Minimum,1479,A,"binary search, interactive, ternary search"
Nezzar and Symmetric Array,1478,C,"implementation, math, sortings"
Journey,1476,D,"dfs and similar, dp, dsu, implementation"
Longest Simple Cycle,1476,C,"dp, graphs, greedy"
Advertising Agency,1475,E,"combinatorics, math, sortings"
Array Destruction,1474,C,"brute force, constructive algorithms, data structures, greedy, implementation, sortings"
Program,1473,D,"data structures, dp, implementation, strings"
No More Inversions,1473,C,"constructive algorithms, math"
Correct Placement,1472,E,"binary search, data structures, dp, sortings, two pointers"
Ceil Divisions,1469,D,"brute force, constructive algorithms, math, number theory"
Building a Fence,1469,C,"dp, greedy, implementation, two pointers"
The Robot,1468,K,"brute force, implementation"
Full Turn,1468,F,"geometry, hashing, number theory"
Firecrackers,1468,D,"binary search, sortings"
Hills And Valleys,1467,B,"brute force, implementation"
13th Labour of Heracles,1466,D,"data structures, greedy, sortings, trees"
Close Tuples (hard version),1462,E2,"binary search, combinatorics, implementation, math, sortings, two pointers"
Close Tuples (easy version),1462,E1,"binary search, combinatorics, math, sortings, two pointers"
Divide and Summarize,1461,D,"binary search, brute force, data structures, divide and conquer, implementation, sortings"
Random Events,1461,C,"dp, math, probabilities"
Row GCD,1458,A,"math, number theory"
Sequence and Swaps,1455,D,"dp, greedy, sortings"
Triangles,1453,C,"greedy, implementation"
Radio Towers,1452,D,"combinatorics, dp, math"
Circle Game,1451,D,"games, geometry, math"
Division,1444,A,"brute force, math, number theory"
Binary Table (Easy Version),1439,A1,"constructive algorithms, implementation"
Minimal Height Tree,1437,D,"graphs, greedy, shortest paths, trees"
Binary Search,1436,C,"binary search, combinatorics"
Used Markers,1431,D,"*special, greedy"
Black Friday,1431,C,"*special, implementation"
String Deletion,1430,D,"binary search, data structures, greedy, two pointers"
Non-zero Segments,1426,D,"constructive algorithms, data structures, greedy, sortings"
Lonely Numbers,1423,K,"binary search, math, number theory, two pointers"
Bargain,1422,C,"combinatorics, dp, math"
Sage's Birthday (hard version),1419,D2,"binary search, brute force, constructive algorithms, greedy, sortings, two pointers"
Killjoy,1419,C,"greedy, implementation, math"
Mortal Kombat Tower,1418,C,"dp, graphs, greedy, shortest paths"
k-Amazing Numbers,1416,A,"binary search, data structures, implementation, two pointers"
Shurikens,1413,D,"data structures, greedy, implementation"
Peaceful Rooks,1411,C,"dfs and similar, dsu, graphs"
Decrease the Sum of Digits,1409,D,"greedy, math"
Discrete Acceleration,1408,C,"binary search, dp, implementation, math, two pointers"
Chocolate Bunny,1407,C,"constructive algorithms, interactive, math, two pointers"
Link Cut Centroids,1406,C,"constructive algorithms, dfs and similar, graphs, trees"
Balanced Bitstring,1404,A,"implementation, strings"
Binary String Reconstruction,1400,C,"2-sat, brute force, constructive algorithms, greedy"
RPG Protagonist,1400,B,"brute force, greedy, math"
Binary String To Subsequences,1399,D,"constructive algorithms, data structures, greedy, implementation"
Good Subarrays,1398,C,"data structures, dp, math"
Power Sequence,1397,B,"brute force, math, number theory, sortings"
Multiples of Length,1396,A,"constructive algorithms, greedy, number theory"
Boboniu and Bit Operations,1395,C,"bitmasks, brute force, dp, greedy"
Pinkie Pie Eats Patty-cakes,1393,C,"constructive algorithms, greedy, math, sortings"
Omkar and Bed Wars,1392,D,"dp, greedy"
Cyclic Permutations ,1391,C,"combinatorics, dp, graphs, math"
Good String,1389,C,"brute force, dp, greedy, two pointers"
Array Walk,1389,B,"brute force, dp, greedy"
a-Good String,1385,D,"bitmasks, brute force, divide and conquer, dp, implementation"
String Transformation 1,1383,A,"dsu, graphs, greedy, sortings, strings, trees, two pointers"
Prefix Flip (Hard Version),1381,A2,"constructive algorithms, data structures, implementation, strings, two pointers"
Dubious Cyrpto,1379,B,"binary search, brute force, math, number theory"
Acacius and String,1379,A,"brute force, implementation, strings"
Reading Books (easy version),1374,E1,"data structures, greedy, sortings"
Maximum Sum on Even Positions,1373,D,"divide and conquer, dp, greedy, implementation"
Omkar and Baseball,1372,C,"constructive algorithms, math"
Grid-00100,1371,D,"constructive algorithms, greedy, implementation"
"AND, OR and square sum",1368,D,"bitmasks, greedy, math"
Even Picture,1368,C,constructive algorithms
Codeforces Subsequences,1368,B,"brute force, constructive algorithms, greedy, math, strings"
Palindromic Paths,1366,C,"greedy, math"
Solve The Maze,1365,D,"constructive algorithms, dfs and similar, dsu, graphs, greedy, implementation, shortest paths"
Ehab and Prefix MEXs,1364,C,"brute force, constructive algorithms, greedy"
Game On Leaves,1363,C,"games, trees"
Johnny and Contribution,1361,A,"constructive algorithms, graphs, greedy, sortings"
Spy-string,1360,F,"bitmasks, brute force, constructive algorithms, dp, hashing, strings"
Mixing Water,1359,C,"binary search, math"
Celex Update,1358,C,math
Constructing the Array,1353,D,"constructive algorithms, data structures, sortings"
Special Permutation,1352,G,constructive algorithms
Binary String Reconstruction,1352,F,"constructive algorithms, dfs and similar, math"
Special Elements,1352,E,"brute force, implementation, two pointers"
Orac and LCM,1349,A,"data structures, math, number theory"
Phoenix and Distribution,1348,C,"constructive algorithms, greedy, sortings, strings"
Magic Tricks,1346,E,"*special, dp, graphs"
Constructing the Dungeon,1346,D,"*special, graphs, greedy"
Spring Cleaning,1346,C,"*special, greedy, sortings"
Hilbert's Hotel,1344,A,"math, number theory, sortings"
Constant Palindrome Sum,1343,D,"brute force, data structures, greedy, two pointers"
Yet Another Counting Problem,1342,C,"math, number theory"
Nastya and Scoreboard,1340,B,"bitmasks, dp, graphs, greedy"
Nastya and Strange Generator,1340,A,"brute force, data structures, greedy, implementation"
Powered Addition,1338,A,"greedy, math"
Xenia and Colorful Gems,1336,B,"binary search, greedy, math, sortings, two pointers"
Linova and Kingdom,1336,A,"dfs and similar, dp, greedy, sortings, trees"
Three Blocks Palindrome (easy version),1335,E1,"binary search, brute force, data structures, dp, two pointers"
Circle of Monsters,1334,C,"brute force, constructive algorithms, greedy, math"
Eugene and an array,1333,C,"binary search, data structures, implementation, two pointers"
Walk on Matrix,1332,D,"bitmasks, constructive algorithms, math"
K-Complete Word,1332,C,"dfs and similar, dsu, greedy, implementation, strings"
Dreamoon Likes Sequences,1329,B,"bitmasks, combinatorics, math"
Game with Chips,1327,C,"constructive algorithms, implementation"
Prefix-Suffix Palindrome (Easy version),1326,D1,"hashing, string suffix structures, strings"
Ehab the Xorcist,1325,D,"bitmasks, constructive algorithms, greedy, number theory"
Ehab and Path-etic MEXs,1325,C,"constructive algorithms, dfs and similar, greedy, trees"
Sleeping Schedule,1324,E,"dp, implementation"
Count Subrectangles,1323,B,"binary search, greedy, implementation"
Remove Adjacent,1321,C,"brute force, constructive algorithms, greedy, strings"
Navigation System,1320,B,"dfs and similar, graphs, shortest paths"
Skyscrapers (easy version),1313,C1,"brute force, data structures, dp, greedy"
Different Rules,1313,B,"constructive algorithms, greedy, implementation, math"
Count the Arrays,1312,D,"combinatorics, math"
Recommendations,1310,A,"data structures, greedy, sortings"
Cow and Message,1307,C,"brute force, dp, math, strings"
Kuroni and Impossible Calculation,1305,C,"brute force, combinatorics, math, number theory"
Air Conditioner,1304,C,"dp, greedy, implementation, sortings, two pointers"
Perfect Keyboard,1303,C,"dfs and similar, greedy, implementation"
Ayoub's function,1301,C,"binary search, combinatorics, greedy, math, strings"
Motarack's Birthday,1301,B,"binary search, greedy, ternary search"
Anu Has a Function,1299,A,"brute force, greedy, math"
Fight with Monsters,1296,D,"greedy, sortings"
Yet Another Walking Robot,1296,C,"data structures, implementation"
Obtain The String,1295,C,"dp, greedy, strings"
Infinite Prefixes,1295,B,"math, strings"
MEX maximizing,1294,D,"data structures, greedy, implementation, math"
Aroma's Search,1292,B,"brute force, constructive algorithms, geometry, greedy, implementation"
Mind Control,1290,A,"brute force, data structures, implementation"
Two Arrays,1288,C,"combinatorics, dp"
Hyperset,1287,B,"brute force, data structures, implementation"
New Year and Permutation,1284,C,"combinatorics, math"
Friends and Gifts,1283,C,"constructive algorithms, data structures, math"
K for the Price of One (Hard Version),1282,B2,"dp, greedy, sortings"
Azamon Web Services,1281,B,greedy
Cut and Paste,1280,A,"implementation, math"
Santa's Bot,1279,D,"combinatorics, math, probabilities"
Berry Jam,1278,C,"data structures, dp, greedy, implementation"
A and B,1278,B,"greedy, math"
Remove One Element,1272,D,"brute force, dp"
Modulo Equality,1269,B,"brute force, sortings"
Long Beautiful Integer,1268,A,"constructive algorithms, greedy, implementation, strings"
Elections,1267,E,greedy
Beautiful Regional Contest,1264,A,"greedy, implementation"
Secret Passwords,1263,D,"dfs and similar, dsu, graphs"
Infinite Fence,1260,C,"greedy, math, number theory"
Yet Another Monster Killing Problem,1257,D,"binary search, data structures, dp, greedy, sortings, two pointers"
Binary String Minimizing,1256,D,greedy
Platforms Jumping,1256,C,greedy
League of Leesins,1255,C,"constructive algorithms, implementation"
Feeding Chicken,1254,A,"constructive algorithms, greedy, implementation"
Harmonious Graph,1253,D,"constructive algorithms, dfs and similar, dsu, graphs, greedy, sortings"
Sweets Eating,1253,C,"dp, greedy, math, sortings"
Even Path,1252,C,"data structures, implementation"
Minimize The Integer,1251,C,"greedy, two pointers"
Divide The Students,1250,L,"binary search, greedy, math"
Happy Birthday,1250,H,math
By Elevator or Stairs?,1249,E,"dp, shortest paths"
Good Numbers (hard version),1249,C2,"binary search, greedy, math, meet-in-the-middle"
Character Swap (Hard Version),1243,B2,strings
Tile Painting,1242,A,"constructive algorithms, math, number theory"
Ivan the Fool and the Probability Theory,1239,A,"combinatorics, dp, math"
Standard Free2play,1238,C,"dp, greedy, math"
Balanced Removals (Easier),1237,C1,"constructive algorithms, geometry, greedy"
Alice and the List of Presents,1236,B,"combinatorics, math"
Distinct Characters Queries,1234,D,data structures
Pipes,1234,C,"dp, implementation"
Primes and Multiplication,1228,C,"math, number theory"
Optimal Subsequences (Easy Version),1227,D1,"data structures, greedy"
Messy,1227,C,constructive algorithms
p-binary,1225,C,"bitmasks, brute force, math"
Save the Nature,1223,C,"binary search, greedy"
Periodic integer number,1219,C,"implementation, strings"
Workout plan,1218,F,"data structures, greedy"
The Number Of Good Substrings,1217,C,"binary search, bitmasks, brute force"
Zmei Gorynich,1217,B,"greedy, math"
White Sheet,1216,C,"geometry, math"
Ticket Game,1215,D,"games, greedy, math"
Swap Letters,1215,C,"constructive algorithms, greedy"
Equalizing by Division (hard version),1213,D2,"brute force, math, sortings"
Equalizing by Division (easy version),1213,D1,"brute force, implementation"
Ice Cream,1211,C,"*special, greedy, sortings"
Traveling Around the Golden Ring of Berland,1211,B,"*special, implementation"
Marcin and Training Camp,1210,B,"brute force, greedy"
Anadi and Domino,1210,A,"brute force, graphs"
Cow and Snacks,1209,D,"dfs and similar, dsu, graphs"
Paint the Digits,1209,C,"constructive algorithms, greedy, implementation"
Uniqueness,1208,B,"binary search, brute force, implementation, two pointers"
Gas Pipeline,1207,C,"dp, greedy"
"Anna, Svyatoslav and Maps",1204,C,"dp, graphs, greedy, shortest paths"
Boxers,1203,E,"greedy, sortings"
Remove the Substring (hard version),1203,D2,"binary search, greedy, implementation, two pointers"
Remove the Substring (easy version),1203,D1,"greedy, implementation"
You Are Given a Decimal String...,1202,B,"brute force, dp, shortest paths"
Zero Array,1201,B,"greedy, math"
Welfare State,1198,B,"binary search, brute force, data structures, sortings"
MP3,1198,A,"sortings, two pointers"
RGB Substring (hard version),1196,D2,"data structures, dp, implementation, two pointers"
RGB Substring (easy version),1196,D1,implementation
Robot Breakout,1196,C,implementation
Submarine in the Rybinsk Sea (easy edition),1195,D1,"combinatorics, math, number theory"
1-2-K Game,1194,D,"games, math"
Add on a Tree,1188,A1,trees
Vus the Cossack and Numbers,1186,D,"constructive algorithms, greedy, math"
Extra Element,1185,D,"implementation, math"
Exam in BerSU (hard version),1185,C2,"brute force, data structures, greedy, math"
Parallel Universes (Easy),1184,D1,implementation
Heidi and the Turing Test (Easy),1184,C1,implementation
Beautiful Lyrics,1182,C,"data structures, greedy, strings"
Split a Number,1181,B,"greedy, implementation, strings"
Nick and Array,1180,B,"greedy, implementation"
Valeriy and Deque,1179,A,"data structures, implementation"
Prime Graph,1178,D,"constructive algorithms, greedy, math, number theory"
Cover it!,1176,E,"dfs and similar, dsu, graphs, shortest paths, trees"
Electrification,1175,C,"binary search, brute force, greedy"
Catch Overflow!,1175,B,"data structures, expression parsing, implementation"
Pairs,1169,B,"graphs, implementation"
Increasing by Modulo,1168,A,"binary search, greedy"
Bicolored RBS,1167,D,"constructive algorithms, greedy"
A Tale of Two Lands,1166,C,"binary search, sortings, two pointers"
Two Arrays and Sum of Functions,1165,E,"greedy, math, sortings"
Almost All Divisors,1165,D,"math, number theory"
Cat Party (Hard Edition),1163,B2,"data structures, implementation"
Cat Party (Easy Edition),1163,B1,"data structures, implementation"
The Party and Sweets,1158,A,"binary search, constructive algorithms, greedy, implementation, math, sortings, two pointers"
Minimum Array,1157,E,"binary search, data structures, greedy"
Increasing Subsequence (hard version),1157,C2,greedy
Walking Robot,1154,D,greedy
Serval and Parenthesis Sequence,1153,C,"greedy, strings"
