Problem,Contest,Index,Tags
Expand the Path,1644,E,"brute force, combinatorics, data structures, implementation, math"
Cross Coloring,1644,D,"data structures, implementation, math"
Yet Another Minimization Problem,1637,D,"dp, greedy, math"
Infinite Set,1635,D,"bitmasks, dp, math, matrices, number theory, strings"
Range and Partition,1630,B,"binary search, constructive algorithms, data structures, greedy, two pointers"
Peculiar Movie Preferences,1628,B,"greedy, strings"
Not Adding,1627,D,"brute force, dp, math, number theory"
Monsters And Spells,1626,C,"binary search, data structures, dp, greedy, implementation, math, two pointers"
Road Optimization,1625,C,dp
MinOr Tree,1624,G,"bitmasks, dfs and similar, dsu, graphs, greedy"
Hidden Permutations,1621,C,"dfs and similar, interactive, math"
Replace the Numbers,1620,E,"constructive algorithms, data structures, dsu, implementation"
BA-String,1620,C,"brute force, dp, greedy, implementation, math"
MEX and Increments,1619,E,"constructive algorithms, data structures, dp, greedy, implementation, math, sortings"
New Year's Problem,1619,D,"binary search, greedy, sortings"
Singers' Tour,1618,E,"constructive algorithms, math"
Too Many Impostors (easy version),1617,D1,"constructive algorithms, implementation, interactive"
MEX Sequences,1613,D,"dp, math"
ATM and Students,1611,F,"binary search, data structures, two pointers"
Escape The Maze (hard version),1611,E2,"dfs and similar, dp, greedy, shortest paths, trees"
Escape The Maze (easy version),1611,E1,"dfs and similar, greedy, shortest paths, trees, two pointers"
Game Master,1608,C,"data structures, dfs and similar, dp, graphs, greedy, two pointers"
Frog Traveler,1601,B,"data structures, dfs and similar, dp, graphs, shortest paths, two pointers"
Array Game,1600,E,"games, greedy, two pointers"
Training Session,1598,D,"combinatorics, data structures, geometry, implementation, math"
The Number of Imposters,1594,D,"constructive algorithms, dfs and similar, dp, dsu, graphs"
Half of Same,1593,D2,"brute force, math, number theory"
Bakry and Partitioning,1592,C,"bitmasks, constructive algorithms, dfs and similar, dp, graphs, trees"
Yet Another Sorting Problem,1585,D,"data structures, math"
Omkar and the Meaning of Life,1583,D,"constructive algorithms, greedy, interactive"
Omkar and Determination,1583,C,"data structures, dp"
Korney Korneevich and XOR (easy version),1582,F1,"bitmasks, dp, greedy"
Portal,1580,A,"brute force, data structures, dp, greedy, implementation"
Array Stabilization (AND version),1579,F,"brute force, graphs, math, number theory, shortest paths"
Array Optimization by Deque,1579,E2,"data structures, greedy"
Higher Order Functions,1578,H,"implementation, strings"
Divisible by Twenty-Five,1575,D,"brute force, dfs and similar, dp"
Book,1572,A,"binary search, brute force, data structures, dp, graphs, implementation, sortings"
Fix the String,1571,E,"*special, bitmasks, dp, greedy"
Sweepstake,1571,D,"*special, brute force, constructive algorithms, implementation, math"
Rhyme,1571,C,"*special, implementation"
Inconvenient Pairs,1569,D,"binary search, data structures, implementation, sortings, two pointers"
Two Hundred Twenty One (easy version),1562,D1,"data structures, dp, math"
Up the Strip (simplified version),1561,D1,"brute force, data structures, dp, math, number theory"
Nearest Beautiful Number (easy version),1560,F1,"binary search, bitmasks, brute force, constructive algorithms, dfs and similar, greedy"
Polycarp and String Transformation,1560,E,"binary search, implementation, sortings, strings"
Up the Strip,1558,B,"brute force, dp, math, number theory, two pointers"
Moamen and XOR,1557,C,"bitmasks, combinatorics, dp, math, matrices"
Take a Guess,1556,D,"bitmasks, constructive algorithms, interactive, math"
Compressed Bracket Sequence,1556,C,"brute force, implementation"
Diane,1554,D,"constructive algorithms, greedy, strings"
Mikasa,1554,C,"binary search, bitmasks, greedy, implementation"
Cobb,1554,B,"bitmasks, brute force, greedy, math"
Array Differentiation,1552,D,"bitmasks, brute force, constructive algorithms, dfs and similar, dp, graphs, math"
Maximize the Intersections,1552,C,"combinatorics, constructive algorithms, geometry, greedy, sortings"
Domino (easy version),1551,D1,"constructive algorithms, math"
Manhattan Subarrays,1550,C,"brute force, geometry, greedy, implementation"
Integers Have Friends,1548,B,"binary search, data structures, divide and conquer, math, number theory, two pointers"
Array Stabilization (GCD version),1547,F,"binary search, brute force, data structures, divide and conquer, number theory, two pointers"
AquaMoon and Chess,1545,B,"combinatorics, math"
RPD and Rap Sheet (Easy Version),1543,D1,"bitmasks, constructive algorithms, interactive, math"
Need for Pink Slips,1543,C,"bitmasks, brute force, dfs and similar, implementation, math, probabilities"
Another Problem About Dividing Numbers,1538,D,"constructive algorithms, math, number theory"
Deleting Divisors,1537,D,"games, math, number theory"
Playoff Tournament,1535,D,"data structures, dfs and similar, dp, implementation, trees"
Lost Tree,1534,D,"constructive algorithms, interactive, trees"
Kavi on Pairing Duty,1528,B,"combinatorics, dp, math"
Palindrome Game (hard version),1527,B2,"constructive algorithms, games"
Armchairs,1525,D,"dp, flows, graph matchings, greedy"
Explorer Space,1517,D,"dp, graphs, shortest paths"
Baby Ehab Partitions Again,1516,C,"bitmasks, constructive algorithms, dp, math"
Short Task,1512,G,"brute force, dp, math, number theory"
Education,1512,F,"brute force, dp, greedy, implementation"
The Sports Festival,1509,C,"dp, greedy"
Almost Sorted,1508,B,"binary search, combinatorics, constructive algorithms, implementation"
Binary Literature,1508,A,"constructive algorithms, greedy, implementation, strings, two pointers"
Cakewalk,1505,E,"*special, greedy, implementation, shortest paths"
Xenolith? Hippodrome?,1505,D,"*special, number theory"
3-Coloring,1503,B,"constructive algorithms, games, interactive"
Going Home,1500,A,"brute force, hashing, implementation, math"
Square-Free Division (easy version),1497,E1,"data structures, dp, greedy, math, number theory, two pointers"
Let's Go Hiking,1495,B,"games, greedy"
1D Sokoban,1494,C,"binary search, dp, greedy, implementation, two pointers"
Genius's Gambit,1492,D,"bitmasks, constructive algorithms, greedy, math"
Zookeeper and The Infinite Zoo,1491,D,"bitmasks, constructive algorithms, dp, greedy, math"
Pekora and Trampoline,1491,C,"brute force, data structures, dp, greedy, implementation"
Old Floppy Drive ,1490,G,"binary search, data structures, math"
Problemsolving Marathon,1488,D,"*special, binary search, greedy"
Two Policemen,1488,C,"*special, binary search, brute force, math"
RBS Deletion,1488,B,"*special, greedy"
Guessing the Greatest (hard version),1486,C2,"binary search, interactive"
Floor and Mod,1485,C,"binary search, brute force, math, number theory"
Playlist,1482,D,"data structures, dsu, implementation, shortest paths"
Painting the Array I,1479,B1,"constructive algorithms, data structures, dp, greedy, implementation"
Searching Local Minimum,1479,A,"binary search, interactive, ternary search"
Nezzar and Symmetric Array,1478,C,"implementation, math, sortings"
Nezzar and Binary String,1477,B,"data structures, greedy"
Nezzar and Board,1477,A,"constructive algorithms, math, number theory"
Journey,1476,D,"dfs and similar, dp, dsu, implementation"
Strange Beauty,1475,G,"dp, math, number theory, sortings"
Unusual Matrix,1475,F,"2-sat, brute force, constructive algorithms"
Cleaning the Phone,1475,D,"binary search, dp, sortings, two pointers"
Array Destruction,1474,C,"brute force, constructive algorithms, data structures, greedy, implementation, sortings"
Program,1473,D,"data structures, dp, implementation, strings"
Correct Placement,1472,E,"binary search, data structures, dp, sortings, two pointers"
Strange Definition,1470,B,"bitmasks, graphs, hashing, math, number theory"
Ceil Divisions,1469,D,"brute force, constructive algorithms, math, number theory"
Road Reform,1468,J,"dsu, graphs, greedy"
Full Turn,1468,F,"geometry, hashing, number theory"
Firecrackers,1468,D,"binary search, sortings"
Three Bags,1467,C,"constructive algorithms, greedy"
Hills And Valleys,1467,B,"brute force, implementation"
Apollo versus Pan,1466,E,"bitmasks, brute force, math"
Pairs,1463,D,"binary search, constructive algorithms, greedy, two pointers"
Busy Robot,1463,C,implementation
The Treasure of The Segments,1462,F,"binary search, data structures, greedy"
Close Tuples (hard version),1462,E2,"binary search, combinatorics, implementation, math, sortings, two pointers"
Checkpoints,1453,D,"brute force, constructive algorithms, greedy, math, probabilities"
Triangles,1453,C,"greedy, implementation"
Circle Game,1451,D,"games, geometry, math"
Rating Compression,1450,D,"binary search, data structures, greedy, implementation, two pointers"
Catching Cheaters,1446,B,"dp, strings"
Divide and Sum,1444,B,"combinatorics, math, sortings"
Identify the Operations,1442,B,"combinatorics, data structures, dsu, greedy, implementation"
Extreme Subtraction,1442,A,"constructive algorithms, dp, greedy"
Binary Table (Hard Version),1439,A2,"constructive algorithms, graphs, greedy, implementation"
Chef Monocarp,1437,C,"dp, flows, graph matchings, greedy, math, sortings"
Bandit in a City,1436,D,"binary search, dfs and similar, graphs, greedy, trees"
String Reversal,1430,E,"data structures, greedy, strings"
String Deletion,1430,D,"binary search, data structures, greedy, two pointers"
Bouncing Boomerangs,1428,D,"constructive algorithms, greedy, implementation"
"Rock, Paper, Scissors",1426,E,"brute force, constructive algorithms, flows, greedy, math"
Valuable Paper,1423,B,"binary search, flows, graph matchings, graphs"
Bargain,1422,C,"combinatorics, dp, math"
Hexagons,1421,D,"brute force, constructive algorithms, greedy, implementation, math, shortest paths"
Rescue Nibel!,1420,D,"combinatorics, data structures, sortings"
Shurikens,1413,D,"data structures, greedy, implementation"
Perform Easily,1413,C,"binary search, brute force, dp, implementation, sortings, two pointers"
Peaceful Rooks,1411,C,"dfs and similar, dsu, graphs"
Two Platforms,1409,E,"binary search, dp, sortings, two pointers"
Link Cut Centroids,1406,C,"constructive algorithms, dfs and similar, graphs, trees"
Tree Tag,1404,B,"dfs and similar, dp, games, trees"
Fancy Fence,1402,A,"*special, data structures, dsu, implementation, math, sortings"
Maximum Distributed Tree,1401,D,"dfs and similar, dp, greedy, implementation, math, number theory, sortings, trees"
Zigzags,1400,D,"brute force, combinatorics, data structures, math, two pointers"
RPG Protagonist,1400,B,"brute force, greedy, math"
Colored Rectangles,1398,D,"dp, greedy, sortings"
Stoned Game,1396,B,"brute force, constructive algorithms, games, greedy"
Boboniu Chats with Du,1394,A,"dp, greedy, sortings, two pointers"
Pinkie Pie Eats Patty-cakes,1393,C,"constructive algorithms, greedy, math, sortings"
Omkar and Bed Wars,1392,D,"dp, greedy"
Uncle Bogdan and Country Happiness,1388,C,"dfs and similar, greedy, math, trees"
Koa and the Beach (Easy Version),1384,B1,"brute force, dp, greedy"
GameGame,1383,B,"bitmasks, constructive algorithms, dp, games, greedy, math"
String Transformation 1,1383,A,"dsu, graphs, greedy, sortings, strings, trees, two pointers"
Unmerge,1381,B,dp
Prefix Flip (Hard Version),1381,A2,"constructive algorithms, data structures, implementation, strings, two pointers"
Replace by MEX,1375,D,"brute force, constructive algorithms, sortings"
Asterism (Easy Version),1371,E1,"binary search, brute force, combinatorics, math, number theory, sortings"
TediousLee,1369,D,"dp, graphs, greedy, math, trees"
"AND, OR and square sum",1368,D,"bitmasks, greedy, math"
Necklace Assembly,1367,E,"brute force, dfs and similar, dp, graphs, greedy, number theory"
Task On The Board,1367,D,"constructive algorithms, greedy, implementation, sortings"
Maximum Subsequence Value,1365,E,"brute force, constructive algorithms"
Solve The Maze,1365,D,"constructive algorithms, dfs and similar, dsu, graphs, greedy, implementation, shortest paths"
Johnny and Grandmaster,1361,B,"greedy, implementation, math, sortings"
Johnny and Contribution,1361,A,"constructive algorithms, graphs, greedy, sortings"
A/B Matrix,1360,G,"constructive algorithms, greedy, math"
Spy-string,1360,F,"bitmasks, brute force, constructive algorithms, dp, hashing, strings"
Mixing Water,1359,C,"binary search, math"
The Best Vacation,1358,D,"binary search, brute force, greedy, implementation, two pointers"
Count Triangles,1355,C,"binary search, implementation, math, two pointers"
Multiset,1354,D,"binary search, data structures"
K-periodic Garland,1353,E,"brute force, dp, greedy"
Phoenix and Science,1348,D,"binary search, constructive algorithms, greedy, implementation, math"
Magic Tricks,1346,E,"*special, dp, graphs"
Constant Palindrome Sum,1343,D,"brute force, data structures, greedy, two pointers"
Multiple Testcases,1342,D,"binary search, constructive algorithms, data structures, greedy, sortings, two pointers"
Nastya and Scoreboard,1340,B,"bitmasks, dp, graphs, greedy"
Edge Weight Assignment,1338,B,"bitmasks, constructive algorithms, dfs and similar, greedy, math, trees"
Xenia and Colorful Gems,1336,B,"binary search, greedy, math, sortings, two pointers"
Three Blocks Palindrome (hard version),1335,E2,"brute force, data structures, dp, two pointers"
Three Blocks Palindrome (easy version),1335,E1,"binary search, brute force, data structures, dp, two pointers"
Minimum Euler Cycle,1334,D,"constructive algorithms, graphs, greedy, implementation"
Eugene and an array,1333,C,"binary search, data structures, implementation, two pointers"
Walk on Matrix,1332,D,"bitmasks, constructive algorithms, math"
Dreamoon Likes Sequences,1329,B,"bitmasks, combinatorics, math"
Dreamoon Likes Coloring,1329,A,"constructive algorithms, greedy, implementation, math"
Tree Queries,1328,E,"dfs and similar, graphs, trees"
Carousel,1328,D,"constructive algorithms, dp, graphs, greedy, math"
Count The Blocks,1327,E,"combinatorics, dp, math"
Prefix-Suffix Palindrome (Hard version),1326,D2,"binary search, greedy, hashing, string suffix structures, strings"
Ehab the Xorcist,1325,D,"bitmasks, constructive algorithms, greedy, number theory"
Maximum White Subtree,1324,F,"dfs and similar, dp, graphs, trees"
Sleeping Schedule,1324,E,"dp, implementation"
Navigation System,1320,B,"dfs and similar, graphs, shortest paths"
Primitive Primes,1316,C,"constructive algorithms, math, ternary search"
Skyscrapers (hard version),1313,C2,"data structures, dp, greedy"
Different Rules,1313,B,"constructive algorithms, greedy, implementation, math"
Count the Arrays,1312,D,"combinatorics, math"
Moving Points,1311,F,"data structures, divide and conquer, implementation, sortings"
Recommendations,1310,A,"data structures, greedy, sortings"
Cow and Fields,1307,D,"binary search, data structures, dfs and similar, graphs, greedy, shortest paths, sortings"
Kuroni and the Celebration,1305,D,"constructive algorithms, dfs and similar, interactive, trees"
Shortest and Longest LIS,1304,D,"constructive algorithms, graphs, greedy, two pointers"
Fill The Bag,1303,D,"bitmasks, greedy"
Ayoub's function,1301,C,"binary search, combinatorics, greedy, math, strings"
Aerodynamic,1299,B,geometry
String Coloring (easy version),1296,E1,"constructive algorithms, dp, graphs, greedy, sortings"
Same GCDs,1295,D,"math, number theory"
Infinite Prefixes,1295,B,"math, strings"
Obtain a Permutation,1294,E,"greedy, implementation, math"
Aroma's Search,1292,B,"brute force, constructive algorithms, geometry, greedy, implementation"
Irreducible Anagrams,1290,B,"binary search, constructive algorithms, data structures, strings, two pointers"
Numbers on Tree,1286,B,"constructive algorithms, data structures, dfs and similar, graphs, greedy, trees"
Garland,1286,A,"dp, greedy, sortings"
Dr. Evil Underscores,1285,D,"bitmasks, brute force, dfs and similar, divide and conquer, dp, greedy, strings, trees"
New Year Parties,1283,E,"dp, greedy"
Christmas Trees,1283,D,"graphs, greedy, shortest paths"
Petya and Exam,1282,C,"greedy, sortings, two pointers"
Beingawesomeism,1280,B,"implementation, math"
Cut and Paste,1280,A,"implementation, math"
Santa's Bot,1279,D,"combinatorics, math, probabilities"
Berry Jam,1278,C,"data structures, dp, greedy, implementation"
Let's Play the Words?,1277,D,"data structures, hashing, implementation, math"
Two Fairs,1276,B,"combinatorics, dfs and similar, dsu, graphs"
Nearest Opposite Parity,1272,E,"dfs and similar, graphs, shortest paths"
Strange Device,1270,D,"constructive algorithms, interactive, math, sortings"
Long Beautiful Integer,1268,A,"constructive algorithms, greedy, implementation, strings"
Lexicography,1267,L,"constructive algorithms, strings"
Just Arrange the Icons,1267,J,"greedy, implementation, math"
Elections,1267,E,greedy
Beautiful Sequence,1264,B,"brute force, constructive algorithms, greedy"
A Game with Traps,1260,D,"binary search, dp, greedy, sortings"
Infinite Fence,1260,C,"greedy, math, number theory"
Yet Another Monster Killing Problem,1257,D,"binary search, data structures, dp, greedy, sortings, two pointers"
Platforms Jumping,1256,C,greedy
Send Boxes to Alice (Easy Version),1254,B1,"constructive algorithms, greedy, math, number theory, ternary search, two pointers"
Feeding Chicken,1254,A,"constructive algorithms, greedy, implementation"
Harmonious Graph,1253,D,"constructive algorithms, dfs and similar, dsu, graphs, greedy, sortings"
Twin Buildings,1252,H,"greedy, implementation"
Salary Changing,1251,D,"binary search, greedy, sortings"
The Parade,1250,J,"binary search, greedy"
The Feast and the Bus,1250,B,"brute force, constructive algorithms, greedy, math"
By Elevator or Stairs?,1249,E,"dp, shortest paths"
Too Many Segments (hard version),1249,D2,"data structures, greedy, sortings"
Too Many Segments (easy version),1249,D1,greedy
Shichikuji and Power Grid,1245,D,"dsu, graphs, greedy, shortest paths, trees"
Paint the Tree,1244,D,"brute force, constructive algorithms, dp, graphs, implementation, trees"
0-1 MST,1242,B,"dfs and similar, dsu, graphs, sortings"
Ivan the Fool and the Probability Theory,1239,A,"combinatorics, dp, math"
AB-string,1238,D,"binary search, combinatorics, dp, strings"
Balanced Removals (Harder),1237,C2,"binary search, constructive algorithms, divide and conquer, greedy, implementation, sortings"
Balanced Removals (Easier),1237,C1,"constructive algorithms, geometry, greedy"
Complete Tripartite,1228,D,"brute force, constructive algorithms, graphs, hashing, implementation"
Primes and Multiplication,1228,C,"math, number theory"
Optimal Subsequences (Hard Version),1227,D2,"data structures, greedy"
Messy,1227,C,constructive algorithms
Power Products,1225,D,"hashing, math, number theory"
Make The Fence Great Again,1221,D,dp
Alex and Julian,1220,D,"bitmasks, math, number theory"
Periodic integer number,1219,C,"implementation, strings"
The Number Of Good Substrings,1217,C,"binary search, bitmasks, brute force"
Numerical Sequence (easy version),1216,E1,"binary search, brute force, math"
White Sheet,1216,C,"geometry, math"
Ticket Game,1215,D,"games, greedy, math"
Treasure Island,1214,D,"dfs and similar, dp, flows, hashing"
