Problem,Contest,Index,Tags
Matching Numbers,1788,C,"constructive algorithms, greedy, math"
Cake Assembly Line,1786,B,"brute force, sortings"
The Forbidden Permutation,1778,B,"greedy, math"
Controllers,1776,L,"binary search, math"
Beppa and SwerChat,1776,H,two pointers
Gardener and the Array,1775,B,"bitmasks, constructive algorithms"
Ice and Fire,1774,C,"constructive algorithms, dp, greedy"
Coloring,1774,B,"constructive algorithms, greedy, math"
Easy Assembly,1773,E,"greedy, sortings"
Absolute Sorting,1772,D,"constructive algorithms, math"
Hossam and Friends,1771,B,"binary search, constructive algorithms, dp, two pointers"
Подкрутка II,1769,C2,"*special, dp"
Копирование файлов II,1769,B2,"*special, binary search, brute force, math"
Elemental Decompress,1768,C,"constructive algorithms, greedy, implementation, sortings"
Playoff,1767,D,"combinatorics, constructive algorithms, dp, greedy, math"
Hamiltonian Wall,1766,C,"dp, implementation"
Number Reduction,1765,N,greedy
Torus Path,1765,K,"greedy, math"
Doremy's City Construction,1764,C,"graphs, greedy"
Binary Strings are Fun,1762,C,"combinatorics, math"
Set Construction,1761,C,"constructive algorithms, dfs and similar, graphs, greedy"
Quests,1760,F,"binary search, greedy, sortings"
The Humanoid,1759,E,"brute force, dp, sortings"
Make It Round,1759,D,"brute force, number theory"
Almost All Multiples,1758,C,"greedy, number theory"
Make Nonzero Sum (hard version),1753,A2,"constructive algorithms, dp, greedy"
Make Nonzero Sum (easy version),1753,A1,"constructive algorithms, dp, greedy"
Complementary XOR,1750,C,"constructive algorithms, implementation"
Number Game,1749,C,"binary search, data structures, games, greedy, implementation"
Diverse Substrings,1748,B,"brute force, implementation, strings"
Permutation Operations,1746,C,"constructive algorithms, greedy, implementation, math"
Divisible Numbers (easy version),1744,E1,"brute force, math, number theory"
Orray,1742,G,"bitmasks, brute force, greedy, math, sortings"
Smaller,1742,F,"constructive algorithms, greedy, strings"
Masha and a Beautiful Tree,1741,D,"dfs and similar, divide and conquer, graphs, sortings, trees"
Knowledge Cards,1740,D,"constructive algorithms, data structures"
Bricks and Bags,1740,C,"constructive algorithms, games, greedy, sortings"
Card Game,1739,C,"combinatorics, constructive algorithms, dp, games"
Even Number Addicts,1738,C,"dp, games, greedy, math"
Ela and Crickets,1737,C,"constructive algorithms, games, implementation, math"
Ela's Fitness and the Luxury Number,1737,B,"binary search, implementation, math"
Good Subarrays (Easy Version),1736,C1,"binary search, data structures, schedules, two pointers"
Phase Shift,1735,C,"dfs and similar, dsu, graphs, greedy, implementation, strings"
Zero-One (Easy Version),1733,D1,"constructive algorithms, greedy, math"
Parity Shuffle Sorting,1733,C,"constructive algorithms, sortings"
Balance (Easy version),1732,D1,"brute force, data structures, implementation, number theory"
Digital Logarithm,1728,C,"data structures, greedy, sortings"
Jatayu's Balanced Bracket Sequence,1726,C,"data structures, dsu, graphs, greedy"
Garage,1725,G,"binary search, geometry, math"
Even-Odd XOR,1722,G,"bitmasks, constructive algorithms, greedy"
Min-Max Array Transformation,1721,C,"binary search, greedy, two pointers"
Fighting Tournament,1719,C,"binary search, data structures, implementation, two pointers"
Madoka and Formal Statement,1717,C,greedy
Add Modulo 10,1714,E,"brute force, math, number theory"
Party,1711,B,"brute force, graphs"
Color the Picture,1710,A,"constructive algorithms, greedy, math"
Qpwoeirut And The City,1706,C,"dp, flows, greedy, implementation"
Mark and His Unfinished Essay,1705,C,"brute force, implementation"
Yet Another Problem About Pairs Satisfying an Inequality,1703,F,"binary search, data structures, dp, greedy, sortings"
Schedule Management,1701,C,"binary search, greedy, implementation, two pointers"
3SUM Closure,1698,C,"brute force, data structures"
awoo's Favorite Problem,1697,C,"binary search, constructive algorithms, data structures, greedy, implementation, strings, two pointers"
Fishingprince Plays With Array,1696,C,"constructive algorithms, greedy, implementation, math"
Directional Increase,1693,A,greedy
2^Sort,1692,G,"data structures, dp, sortings, two pointers"
3SUM,1692,F,"brute force, math"
Sum of Substrings,1691,C,"brute force, constructive algorithms, greedy, math, strings"
Price Maximization,1690,E,"binary search, greedy, math, two pointers"
Column Swapping,1684,C,"brute force, constructive algorithms, greedy, implementation, sortings"
LIS or Reverse LIS?,1682,C,"constructive algorithms, greedy, implementation, math"
Rooks Defenders,1679,C,"data structures, implementation"
Maximum Crossings (Hard Version),1676,H2,"data structures, divide and conquer, sortings"
Maximum Crossings (Easy Version),1676,H1,brute force
White-Black Balanced Subtrees,1676,G,"dfs and similar, dp, graphs, trees"
Longest Strike,1676,F,"data structures, greedy, implementation, sortings, two pointers"
"Replace With the Previous, Minimize",1675,E,"dsu, greedy, strings"
Vertical Paths,1675,D,"graphs, implementation, trees"
Palindrome Basis,1673,C,"brute force, dp, math, number theory"
Where is the Pizza?,1670,C,"data structures, dfs and similar, dsu, graphs, implementation, math"
Maximal AND,1669,H,"bitmasks, greedy, math"
Make it Increasing,1667,A,"brute force, greedy, math"
Getting Zero,1661,B,"bitmasks, brute force, dfs and similar, dp, graphs, greedy, shortest paths"
Get an Even String,1660,C,"dp, greedy, strings"
Line Empire,1659,C,"binary search, brute force, dp, greedy, implementation, math"
Bit Flipping,1659,B,"bitmasks, constructive algorithms, greedy, strings"
Alice and the Cake,1654,C,"data structures, greedy, implementation, sortings"
Fault-tolerant Network,1651,C,"brute force, data structures, implementation"
Twist the Permutation,1650,D,"brute force, constructive algorithms, implementation, math"
Game of Ball Passing,1649,B,"greedy, implementation"
Weird Sum,1648,A,"combinatorics, data structures, geometry, math, matrices, sortings"
Madoka and Childish Pranks,1647,C,"constructive algorithms, greedy"
Factorials and Powers of Two,1646,C,"bitmasks, brute force, constructive algorithms, dp, math"
Increase Subarray Sums,1644,C,"brute force, dp, greedy, implementation"
Inversion Graph,1638,C,"data structures, dsu, graphs, math"
Fortune Telling,1634,B,"bitmasks, math"
And Matching,1630,A,"bitmasks, constructive algorithms"
Meximum Array,1628,A,"binary search, constructive algorithms, greedy, implementation, math, two pointers"
Not Assigning,1627,C,"constructive algorithms, dfs and similar, number theory, trees"
Not Sitting,1627,B,"games, greedy, sortings"
Palindromes Coloring,1624,D,"binary search, greedy, sortings, strings"
Integers Shop,1621,B,"data structures, greedy, implementation"
Array and Operations,1618,D,"dp, greedy, math"
Paprika and Permutation,1617,C,"binary search, greedy, math, sortings"
Representative Edges,1616,C,"brute force, geometry, implementation, math"
And It's Non-Zero,1615,B,"bitmasks, greedy, math"
Divan and bitwise operations,1614,C,"bitmasks, combinatorics, constructive algorithms, dp, math"
Chat Ban,1612,C,"binary search, math"
Weights Assignment For Tree Edges,1611,D,"constructive algorithms, trees"
Complex Market Analysis,1609,C,"binary search, dp, implementation, number theory, schedules, two pointers"
Blue-Red Permutation,1607,D,"greedy, math, sortings"
Banknotes,1606,C,"greedy, number theory"
Dominant Character,1605,C,"brute force, greedy, implementation, strings"
Di-visible Confusion,1603,A,"constructive algorithms, math, number theory"
Array Elimination,1601,A,"bitmasks, greedy, math, number theory"
Robot Factory,1600,J,"bitmasks, dfs and similar"
Rubik's Cube Coloring (easy version),1594,E1,"combinatorics, math"
Minimize Distance,1585,C,greedy
Productive Meeting,1579,D,"constructive algorithms, graphs, greedy"
Ticks,1579,C,"greedy, implementation"
Jeopardy of Dropped Balls,1575,J,"binary search, brute force, dsu, implementation"
Slay the Dragon,1574,C,"binary search, greedy, sortings, ternary search"
Swaps,1573,B,"greedy, math, sortings"
Epic Novel,1571,B,"*special, math"
Jury Meeting,1569,C,"combinatorics, math"
Rings,1562,C,"constructive algorithms, math"
Deep Down Below,1561,C,"binary search, greedy, sortings"
Make a Power of Two,1560,D,"greedy, math, strings"
Mocha and Diana (Easy Version),1559,D1,"brute force, constructive algorithms, dsu, graphs, greedy, trees"
Charmed by the Game,1558,A,"brute force, math"
Take Your Places!,1556,B,implementation
Coin Rows,1555,C,"brute force, constructive algorithms, dp, implementation"
Two Tables,1555,B,brute force
Backspace,1553,D,"dp, greedy, strings, two pointers"
Reverse String,1553,B,"brute force, dp, hashing, implementation, strings"
Running for Gold,1552,B,"combinatorics, graphs, greedy, sortings"
Interesting Story,1551,C,"greedy, sortings, strings"
Wonderful Coloring - 2,1551,B2,"binary search, constructive algorithms, data structures, greedy"
Web of Lies,1548,A,"brute force, graphs, greedy"
Air Conditioners,1547,E,"data structures, dp, implementation, shortest paths, sortings, two pointers"
Co-growing Sequence,1547,D,"bitmasks, constructive algorithms, greedy"
AquaMoon and Strange Sort,1545,A,sortings
Plus and Multiply,1542,B,"constructive algorithms, math, number theory"
Great Graphs,1540,A,"constructive algorithms, graphs, greedy, shortest paths, sortings"
Interesting Function,1538,F,"binary search, dp, math, number theory"
Number of Pairs,1538,C,"binary search, data structures, math, two pointers"
Diluc and Kaeya,1536,C,"data structures, dp, hashing, number theory"
Unstable String,1535,C,"binary search, dp, greedy, implementation, strings, two pointers"
Little Alawn's Puzzle,1534,C,"combinatorics, dp, dsu, graphs, math"
Potions (Easy Version),1526,C1,"brute force, data structures, dp, greedy"
I Hate 1111,1526,B,"dp, math, number theory"
Nastia and a Good Array,1521,B,"constructive algorithms, math, number theory"
Arranging The Sheep,1520,E,"greedy, math"
Berland Regional,1519,C,"brute force, data structures, greedy, number theory, sortings"
Fillomino 2,1517,C,"constructive algorithms, dfs and similar, greedy, implementation"
AGAGA XOOORRR,1516,B,"bitmasks, brute force, dp, greedy"
Phoenix and Socks,1515,D,"greedy, sortings, two pointers"
Phoenix and Towers,1515,C,"constructive algorithms, data structures, greedy"
AND Sequences,1513,B,"bitmasks, combinatorics, constructive algorithms, math"
Restoring the Permutation,1506,E,"constructive algorithms, implementation"
Epic Transformation,1506,D,"constructive algorithms, data structures, greedy"
Fibonacci Words,1505,C,"*special, implementation"
Minimum Grid Path,1499,C,"brute force, data structures, greedy, math"
Box Fitting,1498,B,"binary search, bitmasks, data structures, greedy"
Berland Crossword,1494,B,"bitmasks, brute force, greedy, implementation"
Planet Lapituletti,1493,B,"brute force, implementation"
Maximum width,1492,C,"binary search, data structures, dp, greedy, two pointers"
Equalize the Array,1490,F,"binary search, data structures, greedy, math, sortings"
Accidental Victory,1490,E,"binary search, data structures, greedy"
Pythagorean Triples,1487,D,"binary search, brute force, math, number theory"
Minimum Ties,1487,C,"brute force, constructive algorithms, dfs and similar, graphs, greedy, implementation, math"
Eastern Exhibition,1486,B,"binary search, geometry, shortest paths, sortings"
Restore Modulo,1482,B,"implementation, math"
Inflation,1476,B,"binary search, brute force, greedy, math"
Ball in Berland,1475,C,"combinatorics, graphs, math"
No More Inversions,1473,C,"constructive algorithms, math"
Strange Birthday Party,1470,A,"binary search, dp, greedy, sortings, two pointers"
Berpizza,1468,C,"data structures, implementation"
13th Labour of Heracles,1466,D,"data structures, greedy, sortings, trees"
Canine poetry,1466,C,"dp, greedy, strings"
Find The Array,1463,B,"bitmasks, constructive algorithms, greedy"
Close Tuples (easy version),1462,E1,"binary search, combinatorics, math, sortings, two pointers"
Add to Neighbour and Remove,1462,D,"greedy, math, number theory"
Random Events,1461,C,"dp, math, probabilities"
Find the Spruce,1461,B,"brute force, dp, implementation"
Move and Turn,1459,B,"dp, math"
Number into Sequence,1454,D,"constructive algorithms, math, number theory"
Suffix Operations,1453,B,"constructive algorithms, implementation"
Toy Blocks,1452,B,"binary search, greedy, math, sortings"
String Equality,1451,C,"dp, greedy, hashing, implementation, strings"
Knapsack,1446,A,"constructive algorithms, greedy, sortings"
Division,1444,A,"brute force, math, number theory"
The Delivery Dilemma,1443,C,"binary search, greedy, sortings"
Saving the City,1443,B,"dp, greedy, math, sortings"
Binary Table (Easy Version),1439,A1,"constructive algorithms, implementation"
Binary Search,1436,C,"binary search, combinatorics"
Two Round Dances,1433,E,"combinatorics, math"
Used Markers,1431,D,"*special, greedy"
Polycarp and the Language of Gods,1431,B,"*special, implementation, two pointers"
Chess Cheater,1427,B,"greedy, implementation, sortings"
Non-zero Segments,1426,D,"constructive algorithms, data structures, greedy, sortings"
Huge Boxes of Animal Toys,1425,H,constructive algorithms
Flamingoes of Mystery,1425,F,interactive
Arena of Greed,1425,A,"games, greedy"
Years,1424,G,"data structures, sortings"
Nice Matrix,1422,B,"greedy, implementation, math"
Palindromifier,1421,C,"constructive algorithms, strings"
Pokémon Army (easy version),1420,C1,"constructive algorithms, dp, greedy"
Sage's Birthday (hard version),1419,D2,"binary search, brute force, constructive algorithms, greedy, sortings, two pointers"
Killjoy,1419,C,"greedy, implementation, math"
Mortal Kombat Tower,1418,C,"dp, graphs, greedy, shortest paths"
Negative Prefixes,1418,B,"greedy, sortings"
k-Amazing Numbers,1416,A,"binary search, data structures, implementation, two pointers"
Bouncing Ball,1415,C,"brute force, dp, implementation"
Decrease the Sum of Digits,1409,D,"greedy, math"
Discrete Acceleration,1408,C,"binary search, dp, implementation, math, two pointers"
Arrays Sum,1408,B,"constructive algorithms, greedy, math"
Big Vova,1407,B,"brute force, greedy, math, number theory"
Balanced Bitstring,1404,A,"implementation, strings"
Mere Array,1401,C,"constructive algorithms, math, number theory, sortings"
Binary String Reconstruction,1400,C,"2-sat, brute force, constructive algorithms, greedy"
Binary String To Subsequences,1399,D,"constructive algorithms, data structures, greedy, implementation"
Power Sequence,1397,B,"brute force, math, number theory, sortings"
Applejack and Storages,1393,B,"constructive algorithms, data structures, greedy, implementation"
Cyclic Permutations ,1391,C,"combinatorics, dp, graphs, math"
Good String,1389,C,"brute force, dp, greedy, two pointers"
a-Good String,1385,D,"bitmasks, brute force, divide and conquer, dp, implementation"
Prefix Flip (Easy Version),1381,A1,"constructive algorithms, data structures, strings"
Create The Teams,1380,C,"brute force, dp, greedy, implementation, sortings"
Universal Solution,1380,B,greedy
Dubious Cyrpto,1379,B,"binary search, brute force, math, number theory"
Acacius and String,1379,A,"brute force, implementation, strings"
Element Extermination,1375,C,"constructive algorithms, data structures, greedy"
Zero Remainder Array,1374,D,"math, sortings, two pointers"
Pluses and Minuses,1373,C,math
Omkar and Baseball,1372,C,"constructive algorithms, math"
Omkar and Last Class of Math,1372,B,"greedy, math, number theory"
A Cookie for You,1371,C,"greedy, implementation, math"
Number Game,1370,C,"games, math, number theory"
RationalLee,1369,C,"greedy, math, sortings, two pointers"
Even Picture,1368,C,constructive algorithms
Codeforces Subsequences,1368,B,"brute force, constructive algorithms, greedy, math, strings"
Social Distance,1367,C,"constructive algorithms, greedy, math"
Palindromic Paths,1366,C,"greedy, math"
Shuffle,1366,B,"math, two pointers"
Rotation Matching,1365,C,"constructive algorithms, data structures, greedy, implementation"
Trouble Sort,1365,B,"constructive algorithms, implementation"
Most socially-distanced subsequence,1364,B,"greedy, two pointers"
Subsequence Hate,1363,B,"implementation, strings"
Johnny and Another Rating Drop,1362,C,"bitmasks, greedy, math"
Polygon,1360,E,"dp, graphs, implementation, shortest paths"
Buying Shovels,1360,D,"math, number theory"
Game With Array,1355,D,"constructive algorithms, math"
Simple Polygon Embedding,1354,C1,"binary search, geometry, math, ternary search"
Binary String Reconstruction,1352,F,"constructive algorithms, dfs and similar, math"
Special Elements,1352,E,"brute force, implementation, two pointers"
"Alice, Bob and Candies",1352,D,implementation
Skier,1351,C,"data structures, implementation"
Orac and Models,1350,B,"dp, math, number theory"
Phoenix and Beauty,1348,B,"constructive algorithms, data structures, greedy, sortings"
Boot Camp,1346,B,"*special, greedy"
Nastya and Door,1341,B,"greedy, implementation"
Nastya and Strange Generator,1340,A,"brute force, data structures, greedy, implementation"
Powered Addition,1338,A,"greedy, math"
Anti-Sudoku,1335,D,"constructive algorithms, implementation"
K-Complete Word,1332,C,"dfs and similar, dsu, greedy, implementation, strings"
Composite Coloring,1332,B,"brute force, constructive algorithms, greedy, math, number theory"
Dreamoon Likes Permutations,1330,B,"implementation, math"
K-th Beautiful String,1328,B,"binary search, brute force, combinatorics, implementation, math"
Prefix-Suffix Palindrome (Easy version),1326,D1,"hashing, string suffix structures, strings"
Permutation Partitions,1326,C,"combinatorics, greedy, math"
Ehab and Path-etic MEXs,1325,C,"constructive algorithms, dfs and similar, greedy, trees"
Pair of Topics,1324,D,"binary search, data structures, sortings, two pointers"
Count Subrectangles,1323,B,"binary search, greedy, implementation"
Unusual Competitions,1322,A,greedy
Journey Planning,1320,A,"data structures, dp, greedy, math, sortings"
String Modification,1316,B,"brute force, constructive algorithms, implementation, sortings, strings"
Homecoming,1315,B,"binary search, dp, greedy, strings"
Skyscrapers (easy version),1313,C1,"brute force, data structures, dp, greedy"
Adding Powers,1312,C,"bitmasks, greedy, implementation, math, number theory, ternary search"
Perform the Combo,1311,C,brute force
Cow and Message,1307,C,"brute force, dp, math, strings"
Cow and Friend,1307,B,"geometry, greedy, math"
Air Conditioner,1304,C,"dp, greedy, implementation, sortings, two pointers"
National Project,1303,B,math
Motarack's Birthday,1301,B,"binary search, greedy, ternary search"
Anu Has a Function,1299,A,"brute force, greedy, math"
Fight with Monsters,1296,D,"greedy, sortings"
Yet Another Walking Robot,1296,C,"data structures, implementation"
Product of Three Numbers,1294,C,"greedy, math, number theory"
NEKO's Maze Game,1292,A,"data structures, dsu, implementation"
Array Sharpening,1291,B,"greedy, implementation"
Hyperset,1287,B,"brute force, data structures, implementation"
Fadi and LCM,1285,C,"brute force, math, number theory"
Just Eat It!,1285,B,"dp, greedy, implementation"
New Year and Ascent Sequence,1284,B,"binary search, combinatorics, data structures, dp, implementation, sortings"
Friends and Gifts,1283,C,"constructive algorithms, data structures, math"
K for the Price of One (Easy Version),1282,B1,"dp, greedy, sortings"
Stack of Presents,1279,C,"data structures, implementation"
Verse For Santa,1279,B,"binary search, brute force, implementation"
A and B,1278,B,"greedy, math"
As Simple as One and Two,1276,A,"dp, greedy"
Remove One Element,1272,D,"brute force, dp"
Shawarma Tent,1271,C,"brute force, geometry, greedy, implementation"
Blocks,1271,B,"greedy, math"
Make Good,1270,C,"bitmasks, constructive algorithms, math"
Modulo Equality,1269,B,"brute force, sortings"
Diverse Matrix,1266,C,"constructive algorithms, greedy, math, number theory"
Beautiful Numbers,1265,B,"data structures, implementation, math, two pointers"
Beautiful Regional Contest,1264,A,"greedy, implementation"
Secret Passwords,1263,D,"dfs and similar, dsu, graphs"
Everyone is a Winner!,1263,C,"binary search, math, meet-in-the-middle, number theory"
PIN Codes,1263,B,"greedy, implementation"
Obtain Two Zeroes,1260,B,"binary search, math"
Binary String Minimizing,1256,D,greedy
Minimize the Permutation,1256,B,greedy
Sweets Eating,1253,C,"dp, greedy, math, sortings"
Silly Mistake,1253,B,"greedy, implementation"
Binary Palindromes,1251,B,"greedy, strings"
Divide The Students,1250,L,"binary search, greedy, math"
Happy Birthday,1250,H,math
Berstagram,1250,A,implementation
Good Numbers (hard version),1249,C2,"binary search, greedy, math, meet-in-the-middle"
Good Numbers (easy version),1249,C1,"brute force, greedy, implementation"
Books Exchange (hard version),1249,B2,"dfs and similar, dsu, math"
Constanze's Machine,1245,C,dp
Tile Painting,1242,A,"constructive algorithms, math, number theory"
Kill `Em All,1238,B,"greedy, sortings"
Balanced Tunnel,1237,B,"data structures, sortings, two pointers"
Labs,1236,C,"constructive algorithms, greedy, implementation"
Alice and the List of Presents,1236,B,"combinatorics, math"
Pipes,1234,C,"dp, implementation"
Social Network (hard version),1234,B2,"data structures, implementation"
Filling the Grid,1228,B,"implementation, math"
TV Subscriptions (Hard Version),1225,B2,"implementation, two pointers"
Substring Game in the Lesson,1220,C,"games, greedy, strings"
Multiplication Table,1220,B,"math, number theory"
Workout plan,1218,F,"data structures, greedy"
Creating a Character,1217,A,"binary search, math"
Swords,1216,D,math
Swap Letters,1215,C,"constructive algorithms, greedy"
The Number of Products,1215,B,"combinatorics, dp, implementation"
Optimal Currency Exchange,1214,A,"brute force, math"
Equalizing by Division (easy version),1213,D1,"brute force, implementation"
Traveling Around the Golden Ring of Berland,1211,B,"*special, implementation"
Paint the Digits,1209,C,"constructive algorithms, greedy, implementation"
Koala and Lights,1209,B,"implementation, math, number theory"
Uniqueness,1208,B,"binary search, brute force, implementation, two pointers"
Gas Pipeline,1207,C,"dp, greedy"
Boxers,1203,E,"greedy, sortings"
Common Divisors,1203,C,"implementation, math"
Maximum Median,1201,C,"binary search, greedy, math, sortings"
Zero Array,1201,B,"greedy, math"
Round Corridor,1200,C,"math, number theory"
Array Splitting,1197,C,"greedy, sortings"
RGB Substring (easy version),1196,D1,implementation
Robot Breakout,1196,C,implementation
Submarine in the Rybinsk Sea (easy edition),1195,D1,"combinatorics, math, number theory"
Basketball Exercise,1195,C,dp
From S To T,1194,C,"implementation, strings"
Yet Another Crosses Problem,1194,B,implementation
Tokitsukaze and Discard Items,1190,A,"implementation, two pointers"
Candies!,1189,C,"data structures, dp, implementation, math"
Letters Shop,1187,B,"binary search, implementation, strings"
Vus the Cossack and Numbers,1186,D,"constructive algorithms, greedy, math"
The Doctor Meets Vader (Easy),1184,B1,"binary search, sortings"
Candy Box (easy version),1183,D,"greedy, sortings"
Computer Game,1183,C,"binary search, math"
Plus from Picture,1182,B,"dfs and similar, implementation, strings"
Split a Number,1181,B,"greedy, implementation, strings"
Nick and Array,1180,B,"greedy, implementation"
Valeriy and Deque,1179,A,"data structures, implementation"
Prime Graph,1178,D,"constructive algorithms, greedy, math, number theory"
Tiles,1178,C,"combinatorics, greedy, math"
WOW Factor,1178,B,"dp, strings"
Lose it!,1176,C,"dp, greedy, implementation"
Ehab and a Special Coloring Problem,1174,C,"constructive algorithms, number theory"
Pairs,1169,B,"graphs, implementation"
Bicolored RBS,1167,D,"constructive algorithms, greedy"
News Distribution,1167,C,"dfs and similar, dsu, graphs"
Lost Numbers,1167,B,"brute force, divide and conquer, interactive, math"
A Tale of Two Lands,1166,C,"binary search, sortings, two pointers"
Good String,1165,C,greedy
Cat Party (Easy Edition),1163,B1,"data structures, implementation"
Double Matrix,1162,B,"brute force, greedy"
Expansion coefficient of the array,1159,B,"implementation, math"
The Party and Sweets,1158,A,"binary search, constructive algorithms, greedy, implementation, math, sortings, two pointers"
Increasing Subsequence (easy version),1157,C1,greedy
Long Number,1157,B,greedy
Inscribed Figures,1156,A,geometry
Alarm Clocks Everywhere,1155,C,"math, number theory"
Walking Robot,1154,D,greedy
Gourmet Cat,1154,C,"implementation, math"
Neko Performs Cat Furrier Transform,1152,B,"bitmasks, constructive algorithms, dfs and similar, math"
Hide and Seek,1147,A,graphs
Equalize Them All,1144,D,"constructive algorithms, greedy"
Queen,1143,C,"dfs and similar, trees"
Colored Boots,1141,D,"greedy, implementation"
Polycarp Restores Permutation,1141,C,math
Edgy Trees,1139,C,"dfs and similar, dsu, graphs, math, trees"
Nastya Is Transposing Matrices,1136,C,"constructive algorithms, sortings"
Zero Quantity Maximization,1133,D,"hashing, math, number theory"
Draw!,1131,B,"greedy, implementation"
Connect,1130,C,"brute force, dfs and similar, dsu"
Ramesses and Corner Inversion,1119,C,"constructive algorithms, greedy, implementation, math"
Alyona and a Narrow Fridge,1119,B,"binary search, flows, greedy, sortings"
Anti-diagonal unitary,1115,U1,*special
Yet Another Array Partitioning Task,1114,B,"constructive algorithms, greedy, sortings"
Sasha and Magnetic Machines,1113,B,"greedy, number theory"
Meaningless Operations,1110,C,"constructive algorithms, math, number theory"
Tape,1110,B,"greedy, sortings"
Diverse Garland,1108,D,"constructive algorithms, dp, greedy"
Nice Garland,1108,C,"brute force, greedy, math"
Brutality,1107,C,"greedy, sortings, two pointers"
Lunar New Year and a Wander,1106,D,"data structures, dfs and similar, graphs, greedy, shortest paths"
Lunar New Year and Food Ordering,1106,B,"data structures, implementation"
Ayoub and Lost Array,1105,C,"combinatorics, dp, math"
Grid game,1103,A,"constructive algorithms, implementation"
Balanced Ternary String,1102,D,"greedy, strings"
Array K-Coloring,1102,B,"greedy, sortings"
Polycarp's New Job,1101,E,implementation
Division and Union,1101,C,sortings
Accordion,1101,B,"greedy, implementation"
Build a Contest,1100,B,"data structures, implementation"
Yuhao and a Parenthesis,1097,C,"greedy, implementation"
Substring Removal,1096,B,"combinatorics, math, strings"
Powers Of Two,1095,C,"bitmasks, greedy"
Mishka and the Last Exam,1093,C,greedy
New Year and the Sphere Transmission,1091,C,"math, number theory"
Company Merging,1090,A,greedy
Guest Student,1089,G,math
Ehab and a 2-operation task,1088,C,"constructive algorithms, greedy, math"
The Fair Nut and String,1084,C,"combinatorics, dp, implementation"
Colorful Bricks,1081,C,"combinatorics, dp, math"
Farewell Party,1081,B,"constructive algorithms, implementation"
Masha and two friends,1080,C,implementation
Good Array,1077,C,
